QueryId,QueryName,GoogleSearchResultId,BingSearchResultId,GTitleNumOfTokens,BTitleNumOfTokens,TitleTokensJaccardSim,GTitleNumOfTerms,BTitleNumOfTerms,TitleTermsJaccardSim,GSnippetNumOfTokens,BSnippetNumOfTokens,SnippetTokensJaccardSim,GSnippetNumOfTerms,BSnippetNumOfTerms,SnippetTremsJaccardSim
24,سلطنة عمان,2344,12806,2,4,0.5,2,3,0.6666667,26,13,0.05882353,23,13,0.10714286
24,سلطنة عمان,2257,12809,7,7,1.0,6,6,1.0,29,16,0.625,23,13,0.8
24,سلطنة عمان,2282,12810,3,5,0.6,3,4,0.75,25,21,0.8695652,21,18,0.94736844
24,سلطنة عمان,2342,12811,6,2,0.0,5,2,0.0,21,15,0.10714286,18,11,0.09090909
24,سلطنة عمان,2352,12835,3,3,1.0,3,3,1.0,15,15,0.8666667,14,13,0.9230769
24,سلطنة عمان,2314,12843,7,7,1.0,6,6,1.0,33,13,0.15625,25,11,0.25925925
24,سلطنة عمان,2338,12850,10,9,0.72727275,8,6,0.75,22,14,0.59090906,19,11,0.6
24,سلطنة عمان,2288,12872,4,4,1.0,4,4,1.0,13,13,0.0,13,11,0.0
24,سلطنة عمان,2340,12903,7,7,1.0,6,6,1.0,26,13,0.0,17,12,0.0
24,سلطنة عمان,2285,12938,11,10,0.8,9,7,0.85714287,25,14,0.028571429,20,12,0.0
24,سلطنة عمان,2266,12973,5,5,1.0,5,5,1.0,30,19,0.22580644,23,13,0.42857143
24,سلطنة عمان,2290,12981,6,6,1.0,5,5,1.0,24,14,0.0882353,21,11,0.14814815
25,مدينة عمان,2356,12985,6,6,1.0,5,5,1.0,29,17,0.16216215,25,11,0.26086956
25,مدينة عمان,2448,12986,12,11,0.7692308,10,9,0.9,14,14,0.8666667,10,10,1.0
25,مدينة عمان,2359,12987,7,7,1.0,6,6,1.0,26,19,0.13513513,20,12,0.23076923
25,مدينة عمان,2373,12988,2,4,0.5,2,3,0.6666667,29,20,0.030303031,27,13,0.09090909
25,مدينة عمان,2431,12991,14,13,0.78571427,9,8,0.875,12,12,1.0,11,11,1.0
25,مدينة عمان,2370,12993,11,10,0.75,9,7,0.7777778,31,17,0.5862069,21,12,0.7058824
25,مدينة عمان,2420,12996,4,4,1.0,3,3,1.0,29,20,0.046511628,22,13,0.03125
25,مدينة عمان,2361,13005,8,8,1.0,7,7,1.0,26,8,0.28,22,8,0.4
25,مدينة عمان,2375,13006,4,4,1.0,3,3,1.0,31,18,0.4,22,14,0.5555556
25,مدينة عمان,2383,13010,9,9,1.0,8,8,1.0,29,16,0.10810811,25,12,0.10714286
25,مدينة عمان,2405,13011,12,10,0.8333333,9,8,0.8888889,31,22,0.65625,20,15,0.75
25,مدينة عمان,2434,13020,1,3,0.33333334,1,2,0.5,34,17,0.23076923,24,13,0.29166666
25,مدينة عمان,2381,13052,6,4,0.42857143,4,3,0.75,27,21,0.2,21,14,0.2173913
27,جرار زراعي,2599,13389,9,9,1.0,8,8,1.0,5,17,0.15789473,5,13,0.23076923
27,جرار زراعي,2639,13421,10,10,1.0,9,9,1.0,27,16,0.4827586,23,15,0.65217394
27,جرار زراعي,2628,13425,11,11,1.0,8,8,1.0,24,18,0.7826087,18,15,0.8333333
27,جرار زراعي,2590,13470,8,8,1.0,6,6,1.0,28,16,0.5714286,23,13,0.5652174
27,جرار زراعي,2598,13494,10,10,1.0,8,8,1.0,31,16,0.516129,25,13,0.5652174
27,جرار زراعي,2616,13505,12,10,0.8333333,10,8,0.8,28,12,0.08108108,23,11,0.30769232
27,جرار زراعي,2591,13583,11,10,0.90909094,9,8,0.8888889,28,16,0.4827586,21,13,0.47826087
29,بسام جرار,2756,13785,6,6,1.0,5,5,1.0,28,17,0.10810811,23,14,0.1923077
29,بسام جرار,2769,13787,7,7,1.0,5,5,1.0,31,15,0.0,25,11,0.0
29,بسام جرار,2758,13791,4,6,0.6666667,3,4,0.75,27,10,0.08,23,6,0.11764706
29,بسام جرار,2765,13798,15,12,0.8,10,9,0.9,33,19,0.2631579,23,14,0.32
29,بسام جرار,2806,13799,6,6,1.0,5,5,1.0,29,17,0.51724136,24,13,0.5416667
29,بسام جرار,2762,13801,12,11,0.9166667,9,9,1.0,31,18,0.46875,23,13,0.44
32,صلاة العشاء,3060,14236,6,6,1.0,5,5,1.0,30,18,0.0,19,15,0.0
32,صلاة العشاء,3094,14237,11,11,1.0,9,9,1.0,31,17,0.09756097,24,12,0.18518518
32,صلاة العشاء,3056,14238,7,7,1.0,5,5,1.0,29,18,0.12903225,20,12,0.21052632
32,صلاة العشاء,3059,14239,6,6,1.0,5,5,1.0,30,17,0.1,17,12,0.13043478
32,صلاة العشاء,3070,14241,13,13,1.0,10,10,1.0,28,19,0.16666667,20,12,0.27272728
32,صلاة العشاء,3093,14243,13,12,0.78571427,7,6,0.85714287,29,13,0.02631579,19,7,0.0
32,صلاة العشاء,3093,14245,13,12,0.78571427,7,6,0.85714287,29,13,0.02631579,19,7,0.0
32,صلاة العشاء,3083,14252,8,8,1.0,6,6,1.0,30,18,0.21621622,20,13,0.36363637
32,صلاة العشاء,3064,14253,9,9,1.0,8,8,1.0,30,17,0.56666666,21,12,0.5
32,صلاة العشاء,3134,14259,13,11,0.8181818,10,10,1.0,29,20,0.10810811,23,14,0.125
32,صلاة العشاء,3090,14260,15,11,0.625,11,8,0.72727275,37,15,0.046511628,27,13,0.1
32,صلاة العشاء,3087,14268,13,12,0.78571427,9,7,0.7777778,31,20,0.59375,23,13,0.59090906
32,صلاة العشاء,3152,14278,14,13,0.78571427,12,10,0.9,34,14,0.17948718,23,13,0.26923078
32,صلاة العشاء,3119,14300,13,12,0.9230769,8,7,0.875,32,20,0.7037037,22,14,0.7777778
32,صلاة العشاء,3137,14348,2,4,0.5,2,3,0.6666667,25,16,0.56,21,14,0.5882353
33,وجبة العشاء,3159,14435,6,6,1.0,5,5,1.0,27,16,0.6086956,18,10,0.6923077
33,وجبة العشاء,3184,14436,5,5,1.0,4,4,1.0,28,18,0.07692308,19,14,0.13636364
33,وجبة العشاء,3158,14440,6,6,1.0,5,5,1.0,28,17,0.05,17,12,0.08695652
33,وجبة العشاء,3166,14443,12,12,1.0,9,9,1.0,36,12,0.04761905,19,11,0.125
33,وجبة العشاء,3228,14444,8,8,1.0,6,6,1.0,27,14,0.53846157,23,13,0.61904764
33,وجبة العشاء,3164,14445,13,11,0.5833333,10,8,0.75,21,14,0.36363637,18,10,0.53333336
33,وجبة العشاء,3168,14461,10,10,1.0,8,8,1.0,30,18,0.5925926,27,14,0.59090906
33,وجبة العشاء,3163,14468,9,9,1.0,8,8,1.0,13,15,0.75,13,15,0.8666667
33,وجبة العشاء,3244,14516,9,9,1.0,7,7,1.0,24,17,0.7083333,18,13,0.7222222
33,وجبة العشاء,3183,14525,5,5,1.0,5,5,1.0,15,15,0.85714287,13,13,1.0
33,وجبة العشاء,3177,14534,11,10,0.90909094,10,9,0.9,30,16,0.4516129,24,14,0.52
33,وجبة العشاء,3243,14536,2,10,0.09090909,2,6,0.14285715,30,19,0.1,19,9,0.04
33,وجبة العشاء,3156,14537,15,12,0.85714287,9,7,0.7777778,32,17,0.10526316,21,12,0.2173913
33,وجبة العشاء,3185,14543,4,6,0.6666667,4,5,0.8,10,10,0.8181818,9,9,1.0
33,وجبة العشاء,3186,14547,6,6,1.0,3,3,1.0,28,15,0.051282052,20,11,0.037037037
33,وجبة العشاء,3201,14567,13,12,0.9230769,7,7,1.0,37,19,0.21052632,20,13,0.16666667
33,وجبة العشاء,3207,14590,14,12,0.73333335,9,8,0.8888889,33,21,0.06521739,22,16,0.125
33,وجبة العشاء,3196,14614,11,11,1.0,8,8,1.0,23,17,0.73913044,15,11,0.73333335
35,مقام موسيقي نهاوند,3359,14835,6,6,1.0,5,5,1.0,44,17,0.1,31,14,0.13333334
35,مقام موسيقي نهاوند,3356,14837,6,6,1.0,5,5,1.0,37,12,0.046511628,30,9,0.09090909
35,مقام موسيقي نهاوند,3435,14851,7,7,1.0,5,5,1.0,31,19,0.44117647,26,16,0.5
35,مقام موسيقي نهاوند,3421,14856,5,5,1.0,4,4,1.0,32,17,0.33333334,23,14,0.5
35,مقام موسيقي نهاوند,3447,14870,3,3,1.0,3,3,1.0,51,16,0.09615385,34,9,0.09375
35,مقام موسيقي نهاوند,3377,14901,5,5,1.0,4,4,1.0,33,18,0.069767445,23,11,0.07692308
36,مدينة فارسية نهاوند,3474,15037,6,6,1.0,5,5,1.0,37,18,0.027027028,20,10,0.03448276
36,مدينة فارسية نهاوند,3467,15041,6,6,1.0,4,4,1.0,35,18,0.41379312,19,9,0.5
36,مدينة فارسية نهاوند,3486,15045,10,9,0.9,8,7,0.875,25,17,0.1875,20,12,0.25
36,مدينة فارسية نهاوند,3487,15051,9,9,1.0,7,7,1.0,28,15,0.2580645,20,10,0.2857143
36,مدينة فارسية نهاوند,3496,15054,12,11,0.75,9,7,0.75,35,17,0.40625,20,9,0.45
36,مدينة فارسية نهاوند,3544,15058,6,8,0.16666667,5,6,0.22222222,46,22,0.3529412,21,10,0.36363637
36,مدينة فارسية نهاوند,3516,15068,9,9,1.0,7,7,1.0,30,16,0.25714287,22,12,0.30769232
36,مدينة فارسية نهاوند,3503,15080,5,5,1.0,4,4,1.0,30,14,0.1875,23,10,0.14814815
36,مدينة فارسية نهاوند,3473,15097,11,9,0.6666667,9,7,0.7777778,29,18,0.16216215,21,12,0.24
36,مدينة فارسية نهاوند,3457,46283,5,5,1.0,4,4,1.0,23,17,0.26666668,18,12,0.3181818
38,عملة القرش,3656,15435,6,6,1.0,5,5,1.0,23,18,0.11111111,19,10,0.12
38,عملة القرش,3658,15436,6,6,1.0,5,5,1.0,27,20,0.0,20,12,0.04
38,عملة القرش,3676,15441,11,11,0.5714286,9,9,0.7,25,17,0.61538464,22,15,0.7368421
38,عملة القرش,3703,15442,8,9,0.5555556,5,7,0.75,31,15,0.1891892,22,10,0.20833333
38,عملة القرش,3673,15455,11,9,0.8181818,10,8,0.8,33,17,0.5483871,24,14,0.6086956
38,عملة القرش,3664,15480,11,11,0.6923077,10,9,0.8,26,14,0.114285715,21,12,0.2173913
38,عملة القرش,3680,15485,6,6,1.0,3,3,1.0,27,20,0.078947365,16,11,0.0952381
38,عملة القرش,3723,15496,14,11,0.78571427,9,7,0.7777778,32,14,0.023255814,23,10,0.11111111
38,عملة القرش,3711,15505,12,10,0.8333333,9,8,0.8888889,31,18,0.51724136,21,11,0.57894737
38,عملة القرش,3678,15508,11,9,0.6666667,9,7,0.7777778,30,16,0.07317073,25,9,0.06666667
38,عملة القرش,3691,15527,10,8,0.8,9,7,0.7777778,29,15,0.5,23,13,0.5652174
38,عملة القرش,3707,15529,13,9,0.5833333,8,6,0.6666667,31,18,0.2857143,21,10,0.3181818
38,عملة القرش,3681,15533,13,12,0.9166667,7,6,0.85714287,30,17,0.0952381,21,12,0.1923077
38,عملة القرش,3709,15537,11,3,0.0,10,2,0.0,33,17,0.5483871,24,14,0.6086956
38,عملة القرش,3734,15553,4,4,1.0,3,3,1.0,27,19,0.054054055,18,10,0.0
38,عملة القرش,3670,15556,11,11,0.8333333,9,8,0.875,31,17,0.4375,20,12,0.4090909
38,عملة القرش,3660,15591,4,4,1.0,3,3,1.0,27,17,0.075,19,11,0.074074075
38,عملة القرش,3686,15631,4,4,1.0,4,4,1.0,27,14,0.025641026,21,11,0.033333335
39,سمكة القرش,3757,15635,6,6,1.0,5,5,1.0,40,14,0.023255814,27,12,0.027777778
39,سمكة القرش,3766,15640,6,9,0.6666667,5,7,0.71428573,28,16,0.54545456,22,12,0.625
39,سمكة القرش,3790,15641,6,6,1.0,4,4,1.0,31,18,0.3529412,17,13,0.4117647
39,سمكة القرش,3798,15642,6,6,1.0,5,5,1.0,31,20,0.61538464,25,16,0.5555556
39,سمكة القرش,3805,15667,8,8,1.0,7,7,1.0,25,17,0.625,24,16,0.8181818
39,سمكة القرش,3781,15669,12,12,1.0,8,8,1.0,30,15,0.12820514,21,12,0.10714286
39,سمكة القرش,3763,15683,12,10,0.8333333,10,9,0.9,34,22,0.54285717,24,16,0.5652174
39,سمكة القرش,3815,15719,7,7,1.0,5,5,1.0,30,16,0.3,22,13,0.44444445
39,سمكة القرش,3835,15720,5,5,1.0,5,5,1.0,29,15,0.048780486,20,10,0.03448276
39,سمكة القرش,3780,15757,12,10,0.8333333,10,8,0.8,28,15,0.023809524,22,13,0.16666667
39,سمكة القرش,3823,15760,9,9,1.0,8,8,1.0,30,16,0.55172414,21,13,0.65
39,سمكة القرش,3824,15786,11,10,0.75,9,8,0.8888889,29,20,0.56666666,21,16,0.6363636
39,سمكة القرش,3827,15795,9,9,1.0,9,9,1.0,29,17,0.46666667,22,15,0.5652174
39,سمكة القرش,3806,15802,9,9,1.0,9,9,1.0,29,17,0.5555556,20,12,0.57894737
45,قارة اسيا,4356,16835,5,5,1.0,4,4,1.0,31,15,0.5185185,19,12,0.7058824
45,قارة اسيا,4357,16836,6,6,1.0,3,3,1.0,28,20,0.10810811,20,11,0.14285715
45,قارة اسيا,4433,16840,7,7,1.0,4,4,1.0,26,4,0.035714287,23,4,0.13043478
45,قارة اسيا,4361,16842,10,10,1.0,9,9,1.0,21,10,0.47619048,14,8,0.61538464
45,قارة اسيا,4364,16843,3,3,1.0,2,2,1.0,32,20,0.60714287,21,12,0.6315789
45,قارة اسيا,4419,16844,14,13,0.8333333,8,7,0.875,12,12,0.6666667,7,7,0.75
45,قارة اسيا,4417,16845,4,7,0.22222222,4,5,0.2857143,27,9,0.4,20,6,0.375
45,قارة اسيا,4406,16846,8,8,1.0,6,6,1.0,8,25,0.06896552,6,23,0.07692308
45,قارة اسيا,4369,16847,5,5,1.0,4,4,1.0,34,19,0.022222223,20,14,0.0
45,قارة اسيا,4388,16850,5,5,1.0,4,4,1.0,36,21,0.5185185,24,14,0.5
45,قارة اسيا,4432,16866,4,4,0.4,4,3,0.6666667,25,18,0.025,23,12,0.03448276
45,قارة اسيا,4382,16884,11,9,0.8181818,9,8,0.8888889,29,15,0.53571427,21,12,0.5714286
45,قارة اسيا,4414,16918,7,7,1.0,6,6,1.0,31,16,0.55172414,24,13,0.6666667
45,قارة اسيا,4430,16928,5,6,0.0,4,5,0.0,24,17,0.39285713,20,13,0.45
45,قارة اسيا,4370,16983,11,9,0.8181818,10,8,0.7777778,32,17,0.75,27,14,0.75
46,اسية زوجة فرعون,4456,17035,7,7,1.0,6,6,1.0,36,16,0.41666666,28,13,0.5
46,اسية زوجة فرعون,4457,17039,5,5,1.0,4,4,1.0,26,18,0.65384614,18,12,0.6875
46,اسية زوجة فرعون,4458,17042,9,9,1.0,7,7,1.0,35,12,0.022222223,22,10,0.032258064
46,اسية زوجة فرعون,4481,17085,14,12,0.71428573,8,8,1.0,34,20,0.31428573,23,14,0.29166666
46,اسية زوجة فرعون,4530,17087,12,12,1.0,10,10,1.0,31,14,0.10810811,24,12,0.15384616
46,اسية زوجة فرعون,4527,17153,6,6,1.0,5,5,1.0,29,17,0.5217391,23,13,0.64705884
46,اسية زوجة فرعون,4526,17173,14,13,0.78571427,9,7,0.7777778,34,22,0.08695652,21,12,0.06896552
56,شعر الجسم,5457,19035,6,6,1.0,5,5,1.0,28,15,0.44444445,23,12,0.47368422
56,شعر الجسم,5465,19042,6,6,1.0,5,5,1.0,29,17,0.5925926,23,14,0.6
56,شعر الجسم,5492,19047,8,8,1.0,8,8,1.0,32,18,0.55172414,20,11,0.5263158
56,شعر الجسم,5493,19051,9,9,1.0,8,8,1.0,32,18,0.5416667,23,13,0.4375
56,شعر الجسم,5464,19066,13,12,0.78571427,10,8,0.8,30,19,0.07692308,21,13,0.16666667
56,شعر الجسم,5473,19073,12,11,0.7692308,10,8,0.8,33,20,0.044444446,21,15,0.06451613
56,شعر الجسم,5502,19080,5,5,1.0,4,4,1.0,26,13,0.08571429,20,10,0.115384616
56,شعر الجسم,5468,19084,5,5,1.0,5,5,1.0,25,18,0.025,20,13,0.03448276
56,شعر الجسم,5529,19104,9,9,1.0,6,6,1.0,30,16,0.53333336,21,13,0.61904764
56,شعر الجسم,5519,19105,6,6,1.0,5,5,1.0,37,19,0.46666667,23,13,0.47619048
56,شعر الجسم,5510,19147,7,7,1.0,7,7,1.0,28,17,0.2857143,25,15,0.33333334
57,شعر أدب,5556,19235,8,8,0.7777778,6,6,1.0,26,9,0.0,16,8,0.0
57,شعر أدب,5565,19236,8,8,1.0,7,7,1.0,26,9,0.0,17,8,0.0
57,شعر أدب,5592,19252,9,9,1.0,7,7,1.0,30,17,0.4642857,24,13,0.5
57,شعر أدب,5622,19275,3,5,0.6,2,3,0.6666667,30,15,0.21428572,24,8,0.2
57,شعر أدب,5654,19287,12,11,0.7692308,9,8,0.875,15,15,0.875,13,13,1.0
60,جبل عرفات,5856,19835,6,6,1.0,5,5,1.0,34,15,0.075,21,9,0.0952381
60,جبل عرفات,5864,19840,6,6,1.0,3,3,1.0,39,22,0.08510638,22,16,0.12
60,جبل عرفات,5868,19851,12,11,0.64285713,7,6,0.85714287,35,13,0.102564104,23,7,0.18181819
60,جبل عرفات,5886,19857,8,8,1.0,5,5,1.0,36,20,0.5588235,20,11,0.5555556
60,جبل عرفات,5861,19858,8,8,1.0,6,6,1.0,36,17,0.075,25,12,0.11111111
60,جبل عرفات,5857,19860,12,12,0.84615386,7,6,0.85714287,35,18,0.06122449,22,11,0.06896552
60,جبل عرفات,5884,19863,9,9,1.0,7,7,1.0,30,18,0.62068963,20,11,0.55
60,جبل عرفات,5909,19868,4,6,0.8,3,4,0.75,31,19,0.53333336,25,15,0.64705884
60,جبل عرفات,5865,19876,11,11,1.0,9,9,1.0,30,18,0.024390243,21,15,0.0
60,جبل عرفات,5922,19882,11,11,0.8333333,7,6,0.85714287,35,18,0.06122449,22,11,0.06896552
60,جبل عرفات,5871,19888,11,11,1.0,9,9,1.0,26,16,0.61538464,20,12,0.6
60,جبل عرفات,5902,19905,2,4,0.5,2,3,0.6666667,29,16,0.48,25,14,0.625
60,جبل عرفات,5919,19958,9,9,1.0,6,6,1.0,29,18,0.045454547,22,15,0.060606062
60,جبل عرفات,5945,19962,9,9,1.0,7,7,1.0,20,15,0.6666667,15,13,0.8666667
60,جبل عرفات,5912,19972,8,8,1.0,6,6,1.0,28,16,0.43333334,20,11,0.57894737
61,ياسر عرفات,5956,20035,6,6,1.0,5,5,1.0,26,19,0.6666667,20,13,0.68421054
61,ياسر عرفات,5960,20036,4,6,0.6666667,4,5,0.8,35,14,0.021276595,23,11,0.0
61,ياسر عرفات,5958,20038,2,4,0.5,2,3,0.6666667,23,14,0.5416667,20,11,0.55
61,ياسر عرفات,5957,20042,9,9,1.0,6,6,1.0,26,19,0.071428575,21,14,0.09677419
61,ياسر عرفات,5964,20056,6,6,1.0,5,5,1.0,23,15,0.46153846,19,12,0.5555556
61,ياسر عرفات,5988,20061,5,5,1.0,4,4,1.0,26,16,0.024390243,20,13,0.0
61,ياسر عرفات,5972,20069,10,11,0.5,9,9,0.6363636,22,16,0.15625,17,13,0.3043478
61,ياسر عرفات,5993,20090,6,6,1.0,3,3,1.0,32,20,0.5833333,22,13,0.5
61,ياسر عرفات,5994,20093,13,11,0.9166667,10,9,0.9,33,17,0.11363637,24,13,0.15625
61,ياسر عرفات,5971,20117,12,12,1.0,8,8,1.0,26,15,0.5769231,21,12,0.57894737
61,ياسر عرفات,5963,20140,11,11,1.0,8,8,1.0,26,14,0.56,20,13,0.6875
67,جمهورية كاميرون,6556,21235,5,5,1.0,4,4,1.0,22,15,0.6363636,19,13,0.7058824
67,جمهورية كاميرون,6624,21237,5,5,1.0,4,4,1.0,58,15,0.14285715,41,10,0.13157895
67,جمهورية كاميرون,6568,21238,1,6,0.0,1,5,0.0,21,11,0.4090909,19,10,0.5
67,جمهورية كاميرون,6627,21243,6,9,0.071428575,4,7,0.22222222,26,15,0.5217391,18,10,0.625
67,جمهورية كاميرون,6619,21244,2,4,0.5,2,3,0.6666667,28,18,0.12820514,20,12,0.10714286
67,جمهورية كاميرون,6567,21254,10,9,0.9,9,8,0.875,28,8,0.2,22,7,0.22727273
67,جمهورية كاميرون,6571,21258,10,9,0.9,9,8,0.875,28,14,0.44827586,24,12,0.41666666
67,جمهورية كاميرون,6556,46235,5,4,0.125,4,3,0.16666667,22,11,0.45454547,19,9,0.47058824
67,جمهورية كاميرون,6556,46236,5,2,0.16666667,4,2,0.2,22,11,0.45454547,19,9,0.47058824
67,جمهورية كاميرون,6556,46237,5,2,0.16666667,4,2,0.2,22,11,0.45454547,19,9,0.47058824
67,جمهورية كاميرون,6556,46238,5,2,0.16666667,4,2,0.2,22,11,0.45454547,19,9,0.47058824
67,جمهورية كاميرون,6556,46239,5,2,0.16666667,4,2,0.2,22,11,0.45454547,19,9,0.47058824
67,جمهورية كاميرون,6556,46240,5,2,0.0,4,2,0.2,22,11,0.45454547,19,9,0.47058824
68,ديفيد كاميرون,6657,21435,6,6,1.0,5,5,1.0,28,17,0.13513513,20,12,0.2
68,ديفيد كاميرون,6656,21436,6,6,1.0,5,5,1.0,26,15,0.4642857,19,11,0.57894737
68,ديفيد كاميرون,6658,21437,4,4,1.0,3,3,1.0,25,16,0.083333336,20,12,0.11111111
68,ديفيد كاميرون,6664,21438,5,5,1.0,4,4,1.0,27,15,0.46153846,19,12,0.42105263
68,ديفيد كاميرون,6663,21439,11,11,0.8333333,9,8,0.8888889,21,14,0.4347826,16,11,0.625
68,ديفيد كاميرون,6752,21440,2,10,0.22222222,2,6,0.4,25,16,0.11111111,20,10,0.03448276
68,ديفيد كاميرون,6670,21443,10,10,1.0,7,7,1.0,26,14,0.08571429,19,11,0.2
68,ديفيد كاميرون,6721,21454,12,11,0.90909094,8,7,0.875,26,14,0.53846157,20,11,0.57894737
68,ديفيد كاميرون,6697,21462,10,10,1.0,6,6,1.0,27,15,0.5555556,18,10,0.5882353
68,ديفيد كاميرون,6689,21463,7,7,1.0,7,7,1.0,28,18,0.6296296,20,13,0.65
68,ديفيد كاميرون,6661,21465,5,5,1.0,4,4,1.0,26,15,0.56,19,11,0.57894737
68,ديفيد كاميرون,6700,21468,10,8,0.6363636,8,6,0.75,28,16,0.1,20,9,0.20833333
68,ديفيد كاميرون,6724,21479,11,9,0.8181818,9,8,0.8888889,26,16,0.11111111,20,9,0.115384616
68,ديفيد كاميرون,6685,21494,12,10,0.8333333,8,7,0.875,29,17,0.5714286,21,12,0.5714286
68,ديفيد كاميرون,6746,21503,10,10,1.0,8,8,1.0,31,21,0.020833334,21,17,0.0
68,ديفيد كاميرون,6690,21555,9,9,1.0,7,7,1.0,27,16,0.5769231,20,12,0.57894737
68,ديفيد كاميرون,6739,21560,10,9,0.9,8,7,0.875,29,16,0.1891892,20,12,0.18518518
68,ديفيد كاميرون,6676,21584,11,10,0.90909094,9,8,0.8888889,28,17,0.60714287,23,14,0.6086956
68,ديفيد كاميرون,6702,21588,14,11,0.78571427,8,7,0.875,27,16,0.075,21,10,0.10714286
71,المذهب المالكي,6956,22035,5,5,1.0,4,4,1.0,39,17,0.20512821,32,14,0.22580644
71,المذهب المالكي,6959,22036,3,5,0.6,3,4,0.75,28,18,0.5,22,13,0.55
